,State,Issuer_Name,Issuer_ID,Plan_ID,Plan_Type,Metal_Level,URL_Claims_Payment_Policies,Issuer_Claims_Received,Issuer_Claims_Denials,Issuer_Internal_Appeals_Filed,Issuer_Number_Internal_Appeals_Overturned,Issuer_Percent_Internal_Appeals_Overturned,Issuer_External_Appeals_Filed,Issuer_Number_External_Appeals_Overturned,Issuer_Percent_External_Appeals_Overturned,Plan_Number_Claims_Received,Plan_Number_Claims_Denied,Plan_Number_Claims_Denied_Referral_Required,Plan_Number_Claims_Denied_Out_of_Network,Plan_Number_Claims_Denied_Services_Excluded,Plan_Number_Claims_Denied_Not_Medically_Necessary_Excl_Behavioral_Health,Plan_Number_Claims_Denied_Not_Medically_Necessary_Behavioral_Health_Only,Plan_Number_Claims_Denied_Other,Rate_Review,Financial_Information,Enrollment_Data,Disenrollment_Data,ReportingUnitID,OverallRatingValue,MedicalCareRatingValue,MemberExperienceRatingValue,PlanAdministratioatingValue
1241,TX,Blue Cross Blue Shield of Texas,33602,33602TX0770193,HMO,Bronze Expanded,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,125394,23754,1090,66,6963,91,0,15752,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,2976,446,33602-TX-HMO,3,2,4,3
1242,TX,Blue Cross Blue Shield of Texas,33602,33602TX0770201,HMO,Bronze Expanded,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,12644,1994,158,0,467,0,0,1381,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,555,67,33602-TX-HMO,3,2,4,3
1243,TX,Blue Cross Blue Shield of Texas,33602,33602TX0770255,HMO,Bronze,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,1270,315,0,0,56,0,0,253,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,39,0,33602-TX-HMO,3,2,4,3
1244,TX,Blue Cross Blue Shield of Texas,33602,33602TX0770155,HMO,Gold,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,12726,1798,91,0,489,0,0,1235,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,239,39,33602-TX-HMO,3,2,4,3
1245,TX,Blue Cross Blue Shield of Texas,33602,33602TX0460720,HMO,Bronze Expanded,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,12927,2168,206,0,404,0,0,1562,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,539,79,33602-TX-HMO,3,2,4,3
1246,TX,Blue Cross Blue Shield of Texas,33602,33602TX0460690,HMO,Silver,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,13075,2098,193,0,375,0,0,1535,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,184,30,33602-TX-HMO,3,2,4,3
1247,TX,Blue Cross Blue Shield of Texas,33602,33602TX0460698,HMO,Silver,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,130795,22557,3064,102,5868,80,0,13604,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,2715,200,33602-TX-HMO,3,2,4,3
1248,TX,Blue Cross Blue Shield of Texas,33602,33602TX0460728,HMO,Bronze Expanded,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,13112,2189,459,0,394,0,0,1344,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,509,76,33602-TX-HMO,3,2,4,3
1249,TX,Blue Cross Blue Shield of Texas,33602,33602TX0460562,HMO,Gold,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,13431,2743,318,0,573,0,0,1872,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,271,29,33602-TX-HMO,3,2,4,3
1250,TX,Blue Cross Blue Shield of Texas,33602,33602TX0770135,HMO,Gold,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,13431,1941,72,0,623,0,0,1248,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,157,18,33602-TX-HMO,3,2,4,3
1251,TX,Blue Cross Blue Shield of Texas,33602,33602TX0460722,HMO,Bronze Expanded,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,136408,25168,2948,33,4665,73,0,17593,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,4613,646,33602-TX-HMO,3,2,4,3
1252,TX,Blue Cross Blue Shield of Texas,33602,33602TX0460708,HMO,Bronze Expanded,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,13683,2733,240,0,445,0,0,2061,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,580,88,33602-TX-HMO,3,2,4,3
1253,TX,Blue Cross Blue Shield of Texas,33602,33602TX0770154,HMO,Gold,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,13752,2123,92,0,521,0,0,1513,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,156,26,33602-TX-HMO,3,2,4,3
1254,TX,Blue Cross Blue Shield of Texas,33602,33602TX0460719,HMO,Bronze Expanded,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,14005,2814,316,0,435,0,0,2086,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,615,101,33602-TX-HMO,3,2,4,3
1255,TX,Blue Cross Blue Shield of Texas,33602,33602TX0460793,HMO,Bronze,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,1421,368,111,0,65,0,0,193,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,31,0,33602-TX-HMO,3,2,4,3
1256,TX,Blue Cross Blue Shield of Texas,33602,33602TX0770166,HMO,Silver,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,14220,2501,140,0,615,0,0,1758,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,301,39,33602-TX-HMO,3,2,4,3
1257,TX,Blue Cross Blue Shield of Texas,33602,33602TX0770183,HMO,Bronze Expanded,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,14437,1831,115,0,417,0,0,1299,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,416,48,33602-TX-HMO,3,2,4,3
1258,TX,Blue Cross Blue Shield of Texas,33602,33602TX0460795,HMO,Bronze,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,1444,334,16,0,82,0,0,237,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,91,19,33602-TX-HMO,3,2,4,3
1259,TX,Blue Cross Blue Shield of Texas,33602,33602TX0770200,HMO,Bronze Expanded,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,14629,2753,115,0,682,30,0,1934,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,558,65,33602-TX-HMO,3,2,4,3
1260,TX,Blue Cross Blue Shield of Texas,33602,33602TX0770147,HMO,Gold,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,14783,2473,169,0,542,0,0,1763,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,307,71,33602-TX-HMO,3,2,4,3
1261,TX,Blue Cross Blue Shield of Texas,33602,33602TX0770105,HMO,Gold,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,14794,2365,152,0,381,0,0,1830,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,178,17,33602-TX-HMO,3,2,4,3
1262,TX,Blue Cross Blue Shield of Texas,33602,33602TX0770185,HMO,Bronze Expanded,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,14917,2198,87,0,559,0,0,1562,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,480,74,33602-TX-HMO,3,2,4,3
1263,TX,Blue Cross Blue Shield of Texas,33602,33602TX0860008,HMO,Silver,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,149850,49134,5732,50,6749,84,0,36746,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,3462,382,33602-TX-HMO,3,2,4,3
1264,TX,Blue Cross Blue Shield of Texas,33602,33602TX0460692,HMO,Silver,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,150771,22805,3521,66,4884,89,0,14390,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,3505,219,33602-TX-HMO,3,2,4,3
1265,TX,Blue Cross Blue Shield of Texas,33602,33602TX0460700,HMO,Silver,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,150938,20719,2551,77,4214,65,0,13910,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,2759,311,33602-TX-HMO,3,2,4,3
1266,TX,Blue Cross Blue Shield of Texas,33602,33602TX0770173,HMO,Silver,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,15105,2026,203,0,617,0,0,1208,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,252,39,33602-TX-HMO,3,2,4,3
1267,TX,Blue Cross Blue Shield of Texas,33602,33602TX0460673,HMO,Catastrophic,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,1530,172,23,0,109,0,0,41,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,11,14,33602-TX-HMO,3,2,4,3
1268,TX,Blue Cross Blue Shield of Texas,33602,33602TX0460560,HMO,Gold,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,15382,2982,275,0,636,0,0,2078,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,310,76,33602-TX-HMO,3,2,4,3
1269,TX,Blue Cross Blue Shield of Texas,33602,33602TX0460666,HMO,Catastrophic,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,154,13,0,0,0,0,0,0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,0,17,33602-TX-HMO,3,2,4,3
1270,TX,Blue Cross Blue Shield of Texas,33602,33602TX0460718,HMO,Bronze Expanded,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,15511,3877,398,0,661,0,0,2816,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,704,83,33602-TX-HMO,3,2,4,3
1271,TX,Blue Cross Blue Shield of Texas,33602,33602TX0460686,HMO,Silver,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,1551807,279048,33749,308,61651,554,0,185058,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,27161,2348,33602-TX-HMO,3,2,4,3
1272,TX,Blue Cross Blue Shield of Texas,33602,33602TX0460706,HMO,Bronze Expanded,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,155304,26064,3565,61,4864,35,0,17759,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,6186,854,33602-TX-HMO,3,2,4,3
1273,TX,Blue Cross Blue Shield of Texas,33602,33602TX0460548,HMO,Gold,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,16069,2578,207,0,608,0,0,1772,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,319,40,33602-TX-HMO,3,2,4,3
1274,TX,Blue Cross Blue Shield of Texas,33602,33602TX0460571,HMO,Gold,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,16073,2376,605,0,472,0,0,1309,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,404,68,33602-TX-HMO,3,2,4,3
1275,TX,Blue Cross Blue Shield of Texas,33602,33602TX0460723,HMO,Bronze Expanded,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,16121,2839,513,42,698,0,0,1613,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,538,75,33602-TX-HMO,3,2,4,3
1276,TX,Blue Cross Blue Shield of Texas,33602,33602TX0770152,HMO,Gold,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,16149,2354,206,0,615,0,0,1554,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,241,43,33602-TX-HMO,3,2,4,3
1277,TX,Blue Cross Blue Shield of Texas,33602,33602TX0460661,HMO,Catastrophic,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,16163,3390,708,0,578,0,0,2132,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,680,255,33602-TX-HMO,3,2,4,3
1278,TX,Blue Cross Blue Shield of Texas,33602,33602TX0770206,HMO,Bronze Expanded,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,16295,2791,143,0,713,0,0,1935,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,576,43,33602-TX-HMO,3,2,4,3
1279,TX,Blue Cross Blue Shield of Texas,33602,33602TX0460554,HMO,Bronze Expanded,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,16391,2426,181,0,681,23,0,1551,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,565,119,33602-TX-HMO,3,2,4,3
1280,TX,Blue Cross Blue Shield of Texas,33602,33602TX0460576,HMO,Gold,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,16406,3153,197,0,851,0,0,2133,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,383,46,33602-TX-HMO,3,2,4,3
1281,TX,Blue Cross Blue Shield of Texas,33602,33602TX0770249,HMO,Bronze,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,1641,280,0,0,100,0,0,173,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,98,16,33602-TX-HMO,3,2,4,3
1282,TX,Blue Cross Blue Shield of Texas,33602,33602TX0460783,HMO,Bronze,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,1670,218,48,0,36,0,0,134,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,54,0,33602-TX-HMO,3,2,4,3
1283,TX,Blue Cross Blue Shield of Texas,33602,33602TX0770172,HMO,Silver,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,17066,2531,113,0,546,0,0,1875,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,355,42,33602-TX-HMO,3,2,4,3
1284,TX,Blue Cross Blue Shield of Texas,33602,33602TX0770171,HMO,Silver,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,17072,3190,83,14,495,0,0,2604,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,400,63,33602-TX-HMO,3,2,4,3
1285,TX,Blue Cross Blue Shield of Texas,33602,33602TX0770199,HMO,Bronze Expanded,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,17196,3495,148,0,743,0,0,2622,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,557,75,33602-TX-HMO,3,2,4,3
1286,TX,Blue Cross Blue Shield of Texas,33602,33602TX0460800,HMO,Bronze,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,17265,3085,277,0,591,0,0,2227,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,437,71,33602-TX-HMO,3,2,4,3
1287,TX,Blue Cross Blue Shield of Texas,33602,33602TX0770240,HMO,Bronze,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,1727,262,0,0,61,0,0,194,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,73,0,33602-TX-HMO,3,2,4,3
1288,TX,Blue Cross Blue Shield of Texas,33602,33602TX0770237,HMO,Bronze,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,17318,2846,143,0,639,0,0,2091,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,651,98,33602-TX-HMO,3,2,4,3
1289,TX,Blue Cross Blue Shield of Texas,33602,33602TX0460573,HMO,Gold,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,17411,3367,637,17,715,19,0,1992,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,373,57,33602-TX-HMO,3,2,4,3
1290,TX,Blue Cross Blue Shield of Texas,33602,33602TX0460570,HMO,Gold,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,17456,2879,450,0,372,0,0,2062,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,425,82,33602-TX-HMO,3,2,4,3
1291,TX,Blue Cross Blue Shield of Texas,33602,33602TX0770235,HMO,Bronze,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,1752,217,0,0,19,0,0,189,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,53,0,33602-TX-HMO,3,2,4,3
1292,TX,Blue Cross Blue Shield of Texas,33602,33602TX0770254,HMO,Bronze,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,1824,312,20,0,132,0,0,160,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,75,0,33602-TX-HMO,3,2,4,3
1293,TX,Blue Cross Blue Shield of Texas,33602,33602TX0460798,HMO,Bronze,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,1853,244,26,0,43,0,0,179,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,63,20,33602-TX-HMO,3,2,4,3
1294,TX,Blue Cross Blue Shield of Texas,33602,33602TX0770146,HMO,Gold,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,18584,3377,188,0,708,0,0,2487,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,464,79,33602-TX-HMO,3,2,4,3
1295,TX,Blue Cross Blue Shield of Texas,33602,33602TX0770253,HMO,Bronze,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,18600,3021,213,0,894,0,0,1931,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,564,77,33602-TX-HMO,3,2,4,3
1296,TX,Blue Cross Blue Shield of Texas,33602,33602TX0860005,HMO,Bronze Expanded,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,186187,64633,6526,103,7674,49,0,50629,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,7564,845,33602-TX-HMO,3,2,4,3
1297,TX,Blue Cross Blue Shield of Texas,33602,33602TX0460681,HMO,Silver,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,187144,33038,5057,63,6452,136,0,21616,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,3280,341,33602-TX-HMO,3,2,4,3
1298,TX,Blue Cross Blue Shield of Texas,33602,33602TX0460785,HMO,Bronze,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,1872,350,50,0,77,0,0,230,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,60,0,33602-TX-HMO,3,2,4,3
1299,TX,Blue Cross Blue Shield of Texas,33602,33602TX0460705,HMO,Bronze Expanded,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,18754,3170,499,39,618,13,0,2011,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,781,112,33602-TX-HMO,3,2,4,3
1300,TX,Blue Cross Blue Shield of Texas,33602,33602TX0460569,HMO,Gold,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,18805,3614,398,19,544,0,0,2659,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,463,66,33602-TX-HMO,3,2,4,3
1301,TX,Blue Cross Blue Shield of Texas,33602,33602TX0770259,HMO,Bronze,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,1881,295,0,0,57,0,0,230,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,53,0,33602-TX-HMO,3,2,4,3
1302,TX,Blue Cross Blue Shield of Texas,33602,33602TX0770140,HMO,Gold,https://www.bcbstx.com/insurance-basics/how-health-insurance-works/transparency-in-coverage,16149484,2877345,1526,254,16.6,15,0,0,188436,34981,1841,167,10458,107,0,22688,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=15941&:refresh,2604,464,33602-TX-HMO,3,2,4,3
